feature,corr_mean,corr_std,corr_range,sign_flip,mean_drift_pct_of_std,corr_2021,corr_2022,corr_2023,corr_2024,corr_2025,corr_2026
day_of_year_sin,-0.09884394271589718,0.2315179867005895,0.629517782252852,True,1.6572982642211829,0.054984270740064026,-0.2088399339207086,-0.2739164935957116,-0.277386987835387,-0.24003530610110504,0.35213079441746503
gefs_tmax_climo_anomaly,-0.3717101700985656,0.10911981019430846,0.3622527810628714,False,0.14807292749289974,-0.5336295838627146,-0.3749504724354659,-0.40699654659735995,-0.41544769386457575,-0.32785992103143446,-0.17137680279984321
obs_minus_model_roll_std,-0.45977627617434663,0.09944786550869497,0.3175511087408291,False,0.7446356795448645,-0.46359581955753143,-0.5676069262344899,-0.5005223156671738,-0.4740981350535576,-0.5027786430396656,-0.25005581749366085
gefs_tmax_iqr,-0.5141604684599003,0.07516898819683525,0.2132333593830117,False,0.5576225733171183,-0.5569878337931609,-0.562524644097854,-0.5588463517345895,-0.5205926319303943,-0.5367200644885602,-0.3492912847148423
obs_minus_model_roll_mean,0.46386777255578043,0.07068550516099015,0.2088240073511876,False,0.2963278327651284,0.5257092581921812,0.5132568195888599,0.497644794431587,0.4868586352280309,0.44285187705303053,0.31688525084099356
gefs_ensemble_kurtosis,-0.027595350513146932,0.06967719011007947,0.22801711523651544,True,0.0543045879506595,0.06638133172525648,0.0033512924956884123,-0.05267722009351323,-0.019424202302046497,-0.0015675213930078022,-0.16163578351125896
day_of_year_cos,-0.6265464810139828,0.06546209359069208,0.1950317558584071,False,0.6253005669728715,-0.6588507085617991,-0.6772886431343365,-0.6433915530382665,-0.6502528081927782,-0.6472382858807874,-0.48225688727592936
surface_wind_speed,-0.16244356040497784,0.06206215224484214,0.19123473558689624,False,0.3784957945393564,-0.16017427599964687,-0.21765458277792515,-0.1337116200233867,-0.17674324902873398,-0.23880618509353524,-0.04757144950663901
obs_minus_model_lag3,0.36249639694784963,0.06115460583977491,0.19040697662339115,False,0.23235588045557728,0.4238721624644942,0.39756674630179545,0.38349387894255416,0.3802341733470724,0.35634623479007854,0.23346518584110307
obs_minus_model_lag2,0.40125591316445813,0.057468883859202555,0.1777959234997148,False,0.2382974373817513,0.46203715276323243,0.43270999008651445,0.4331108482345527,0.4118622564421991,0.3835740021967323,0.28424122926351764
surface_dew_point_depression,-0.13909170825754982,0.050896871956186945,0.1543324780684922,False,0.12191023064724527,-0.19717466121547916,-0.13949566630675353,-0.16097488242174982,-0.11311805224343961,-0.18094480421088974,-0.04284218314698694
gefs_ensemble_skewness,-0.14246780769211745,0.04952386717939122,0.15341564100280616,False,0.16725880941580692,-0.23671070506272207,-0.14631049827979928,-0.08329506405991591,-0.09902941382584479,-0.1592330408174161,-0.13022812410700674
gefs_tmax_std,-0.5751750217376109,0.04811468433110449,0.14204660458122792,False,0.617873810310418,-0.5631646630260687,-0.6177351158980159,-0.6151025102568916,-0.5863639966337404,-0.5929953332941612,-0.47568851131678797
gefs_tmax_range,-0.5714318967983628,0.04633697237982311,0.1374999498831765,False,0.6141132313245052,-0.5684126295226489,-0.6114709147266557,-0.6103111318032927,-0.5784870017074226,-0.5859387381866779,-0.4739709648434792
obs_minus_model_lag1,0.48953579137439057,0.04629399218108518,0.13829130259081573,False,0.24486326513841328,0.5468334425454753,0.5246778387208509,0.5157428865308391,0.48458644949700863,0.45683199099751026,0.40854213995465954
elevation_delta_m,0.014326074047977928,0.04370323542610912,0.13275188767086032,True,0.06521457287983652,0.07748431378309854,-0.0013492723447577233,-0.055267573887761774,0.0064208861759856035,-0.0012348176353256673,0.059902908196628586
wind_dir_sin,-0.13819649011591928,0.03633846269488774,0.10216822102135918,False,0.10134036666420763,-0.10491388928165966,-0.08744677919148745,-0.12031630954295593,-0.1626518405034196,-0.18961500021284663,-0.16423512196314632
coastal_distance_km,-0.1441578305967717,0.03484379784525612,0.11747538074368508,False,0.054096283223568915,-0.07990712610772699,-0.13863374438015807,-0.19738250685141207,-0.14027456871318122,-0.1484938039123071,-0.1602552336158446
gefs_tmax_mean,0.7142015262594179,0.03398046297669353,0.10091573731076142,False,0.9829801380453363,0.6970182866687251,0.7058527104207776,0.7403872212670652,0.736863603851917,0.753001536329392,0.6520857990186306
gefs_tmax_median,0.7142015262594179,0.03398046297669353,0.10091573731076142,False,0.9829801380453363,0.6970182866687251,0.7058527104207776,0.7403872212670652,0.736863603851917,0.753001536329392,0.6520857990186306
ecmwf_tmin,0.7142015262594179,0.03398046297669353,0.10091573731076142,False,0.9829801380453363,0.6970182866687251,0.7058527104207776,0.7403872212670652,0.736863603851917,0.753001536329392,0.6520857990186306
ecmwf_tmax,0.7142015262594179,0.03398046297669353,0.10091573731076142,False,0.9829801380453363,0.6970182866687251,0.7058527104207776,0.7403872212670652,0.736863603851917,0.753001536329392,0.6520857990186306
gefs_tmax_p25,0.7405018146726182,0.033478036018284835,0.09687368302755672,False,0.9938279356738962,0.7185149318460793,0.7353711186359486,0.7667315912168804,0.7643831563493116,0.7774418865075228,0.680568203479966
gefs_tmax_p10,0.741663239620311,0.03265694384771755,0.09331826848258418,False,0.9877953642221001,0.7183089655908066,0.7368888152199911,0.766941459229367,0.7662042481918208,0.7774771089862323,0.6841588405036482
gefs_tmax_p90,0.7132539884897144,0.0310015720584383,0.0908763427514383,False,1.0230876668587017,0.6973066524230107,0.702060056906567,0.7417583405442755,0.7300157228552109,0.7496297504803304,0.6587534077288921
wind_dir_cos,0.14964981559793758,0.029927914297462603,0.0913163183303495,False,0.22388846470572335,0.16539572891560486,0.17572371937855222,0.15533753574283074,0.15828026549208213,0.1587542430103528,0.08440740104820271
gefs_tmax_p75,0.7241531475931894,0.0292329917770397,0.0846403444781555,False,1.0100411125710296,0.7064736704372221,0.7126800080327029,0.7505165195790809,0.7414860534796793,0.7592014892543029,0.6745611447761474
cloud_high_frac,-0.12437285964446106,0.024809757529513372,0.06482881971933985,False,0.2449575091044928,-0.08656236750542867,-0.13350966349357163,-0.0939564589268377,-0.15139118722476852,-0.1427091222059316,-0.1381083585102283
cloud_mid_frac,-0.1243728596444611,0.02480975752951337,0.06482881971934006,False,0.2449575091045229,-0.08656236750542869,-0.13350966349357155,-0.0939564589268378,-0.15139118722476874,-0.14270912220593152,-0.13810835851022826
cloud_low_frac,-0.12437285964446106,0.024809757529513345,0.06482881971933983,False,0.24495750910439307,-0.08656236750542869,-0.13350966349357157,-0.09395645892683775,-0.15139118722476852,-0.14270912220593152,-0.13810835851022832
cloud_cover_total,-0.12437285964446106,0.024809757529513345,0.06482881971933983,False,0.24495750910439307,-0.08656236750542869,-0.13350966349357157,-0.09395645892683775,-0.15139118722476852,-0.14270912220593152,-0.13810835851022832
onshore_wind_component,-0.09290655489777405,0.022092585100399104,0.06261603288304594,False,0.07741250929106976,-0.04629485699433303,-0.10833460996643232,-0.09436821583975033,-0.09066987054555184,-0.10891088987737897,-0.10886088616319782
uhi_index,0.19497777574768094,0.02003272196219382,0.05743051970658705,False,0.06461778874748503,0.2259455186426623,0.16851499893607524,0.18520694229001494,0.1800879458908935,0.21573920413874192,0.19437204458769772
lead_time_sqrt,0.00021810361405133052,0.0004876945071571531,0.0013086216843079838,True,0.001653204644231208,-5.932894397339932e-19,-2.0923615928858626e-20,3.0328231909817943e-18,-1.2209293259455899e-18,-4.504684301651951e-19,0.0013086216843079825
lead_time_hours,0.00018893125343782935,0.0004224631257612266,0.0011335875206269746,False,0.001432508036209183,2.978811071580571e-19,1.9849206927401534e-19,6.640220819757466e-19,2.464803721815427e-19,6.317355020901957e-20,0.0011335875206269746
ecmwf_gefs_tmax_delta,,,,False,,,,,,,
nbm_t10,,,,False,,,,,,,
nbm_t25,,,,False,,,,,,,
nbm_t50,,,,False,,,,,,,
nbm_t75,,,,False,,,,,,,
nbm_t90,,,,False,,,,,,,
nbm_tmax,,,,False,,,,,,,
nbm_tmin,,,,False,,,,,,,
nbm_pop12,,,,False,,,,,,,
nbm_spread,,,,False,,,,,,,
nbm_gefs_delta,,,,False,,,,,,,
